chrom	Start_cM	End_cM	length_bp	length_cM
30	chr1	48.0580589875495	48.3328811275636	235373	0.274822140014159
31	chr1	48.5213321412094	48.5252310780868	312	0.0038989368774125
32	chr1	48.5707458310258	48.5997531523203	33951	0.0290073212944719
33	chr1	48.683848249888	48.7512838714613	35633	0.0674356215733027
34	chr1	49.0868275931671	49.1821255782117	17451	0.0952979850445956
35	chr1	49.1870660168947	49.203517689611	6948	0.0164516727162436
36	chr1	49.7302346199331	49.776075223338	223932	0.0458406034048977
37	chr1	49.782200081799	49.911650150497	204802	0.129450068697999
38	chr1	50.4746250613616	50.5317006907221	17449	0.0570756293605186
39	chr1	50.5784503153765	50.5882489989596	1363	0.00979868358303548
40	chr1	56.8907796824502	56.9213466473848	851	0.0305669649346001
41	chr1	61.1424509009839	61.1795480072805	11429	0.0370971062965779
42	chr1	62.3408488534661	62.3930962042772	13111	0.0522473508111645
43	chr1	62.9541816301839	63.0973665373986	4076	0.143184907214646
44	chr1	71.3560263435657	71.5695607033267	87649	0.213534359760942
45	chr1	72.0881363837985	72.1802379022998	59073	0.0921015185013374
46	chr1	73.9987221653683	74.0110863323984	285	0.0123641670300856
47	chr1	76.0020316260846	76.1793266896383	249616	0.177295063553643
48	chr1	83.9848066601032	84.0449854686831	46581	0.0601788085798773
49	chr1	85.894824125938	85.8992912264	10432	0.00446710046196586
50	chr1	91.6382633027847	91.6759174033426	1261	0.0376541005579156
51	chr1	93.4012318163586	93.4171343603662	3411	0.0159025440075453
52	chr1	93.4483028314393	93.4515397580834	62	0.00323692664410657
53	chr1	98.2717669787006	98.3638988667786	43090	0.0921318880780575
54	chr1	98.4712828460512	98.6957631166781	459293	0.224480270626884
55	chr1	98.7012308118297	98.7222750803784	662	0.0210442685487067
56	chr1	98.864697244922	98.9170885592594	66961	0.0523913143374131
57	chr1	99.7413522325916	100.1007064404	144365	0.35935420780838
58	chr1	100.964528141586	101.029569385209	959	0.0650412436229999
59	chr1	104.804130512119	105.005216538691	337725	0.201086026572526
60	chr1	105.346069329259	105.445708740481	10858	0.0996394112219718
61	chr1	108.952188633121	109.179414666809	34851	0.227226033687359
62	chr1	110.33646963234	110.388754830418	1226	0.0522851980783088
63	chr1	111.175355744462	111.205502427686	113424	0.0301466832246291
64	chr1	116.460245070117	116.476334547917	1262	0.0160894777996958
65	chr1	128.360736774288	128.519924174413	318202	0.159187400125376
66	chr1	130.758806398887	130.790880996296	3003	0.0320745974091494
67	chr1	137.41137365961	137.586387695319	182603	0.175014035708614
68	chr1	139.351726835556	139.459734378705	41533	0.108007543148972
69	chr1	139.512068805661	139.527621712814	422	0.0155529071526246
70	chr1	139.58937035507	139.691566224718	22663	0.102195869648938
71	chr1	139.716617494899	139.801696107452	166020	0.085078612552735
72	chr1	140.107636909418	140.165453181454	71975	0.0578162720360353
73	chr1	143.258457324873	143.407127818745	42576	0.1486704938728
74	chr1	144.519488225727	144.71075842417	78901	0.191270198442879
75	chr1	145.833996432358	145.858822664223	12083	0.0248262318649779
76	chr1	146.892888907758	146.958884290348	184454	0.0659953825899322
77	chr1	2.07785413149229	2.10206285409235	35696	0.0242087226000609
78	chr1	2.34259302298199	2.40758525840597	51816	0.0649922354239845
79	chr1	2.49466638215528	2.51988206991678	1760	0.0252156877614995
80	chr1	3.74193828447164	3.74389380704497	185	0.00195552257332343
81	chr1	8.40822609690989	8.43626232383528	2067	0.0280362269253924
82	chr1	8.72988523864824	8.76263972409519	34495	0.0327544854469526
83	chr1	9.29239112945332	9.43528983713305	44808	0.142898707679729
84	chr1	10.6361380045311	10.6446868157137	3995	0.00854881118258
85	chr1	10.6754428376364	10.73815687792	14123	0.0627140402836144
86	chr1	10.7398282559256	10.8066483876081	33731	0.0668201316824639
87	chr1	11.3091205030444	11.3816583207075	2351	0.072537817663072
88	chr1	16.8442355480053	16.8557091719409	284	0.0114736239356219
89	chr1	17.5685875784037	17.5962056105105	30633	0.0276180321068118
90	chr1	20.3772174295964	20.4504499678472	3398	0.0732325382508243
91	chr1	26.9491474438886	27.0972793834838	47559	0.148131939595142
92	chr1	28.3461790120657	28.3688361094448	19287	0.0226570973790849
93	chr1	28.4748737639884	28.5121696212987	8696	0.0372958573102871
94	chr1	33.5116353765402	33.7136796918657	142496	0.202044315325537
95	chr1	35.7000802414475	35.7321278351549	42675	0.0320475937073823
96	chr1	37.9617073503834	37.9827179622109	2406	0.0210106118274709
97	chr1	42.7268612680325	42.9610686388976	102667	0.2342073708651
98	chr1	42.9807912610541	42.9894059994921	1720	0.00861473843800553
99	chr1	43.4864086944023	43.5987870018005	197094	0.112378307398224
100	chr1	44.0859548115359	44.1727345757871	8711	0.0867797642512187
101	chr1	44.3757849350687	44.5164267309281	44834	0.14064179585943
102	chr1	46.707783841754	46.7621762571015	18152	0.0543924153475928
103	chr1	48.0562305268202	48.1065991075515	70247	0.0503685807313801
104	chr1	48.3261130416527	48.354059144441	5474	0.0279461027882775
105	chr1	48.7020096817576	48.9138118594099	421372	0.211802177652331
106	chr1	49.4523133143177	49.4543249193032	5854	0.00201160498549768
107	chr1	49.4660493792933	49.5306683908827	193445	0.0646190115893788
108	chr1	49.7405694146187	49.7575599251378	67456	0.016990510519129
109	chr1	49.8314425769676	49.8520191089339	13721	0.0205765319663413
110	chr1	55.3679361479131	55.3938849921959	13047	0.0259488442828086
111	chr1	57.0236847734848	57.0516444439424	56192	0.0279596704576122
112	chr1	57.1064959535432	57.1418163289648	16605	0.0353203754216196
113	chr1	58.7743397858146	58.8142726898127	22050	0.0399329039981069
114	chr1	66.4455113861942	66.4890261726627	4690	0.043514786468478
115	chr1	68.1383401084033	68.1902183612588	13196	0.051878252855488
116	chr1	68.792817476277	68.8460812376211	27061	0.0532637613440698
117	chr1	69.2627950012137	69.3191362357	17102	0.0563412344863252
118	chr1	74.0909978962113	74.2241368362019	35464	0.133138939990559
119	chr1	74.2421323622281	74.4131549798558	328374	0.171022617627656
120	chr1	74.7135015973922	74.7415511771811	530	0.0280495797888705
121	chr1	76.6109339841986	76.8221139871068	158510	0.211180002908208
122	chr1	85.2702770897407	85.2952419589143	34534	0.0249648691736155
123	chr1	89.38529325553	89.531471261528	46895	0.146178005998038
124	chr1	91.3815234670214	91.4564045743057	113943	0.0748811072842983
125	chr1	91.5942232668714	91.5945217875153	10	0.000298520643852385
126	chr1	91.6925284777333	91.7406777152966	19408	0.0481492375632797
127	chr1	96.7882093572024	96.8064140239747	991	0.0182046667723199
128	chr1	98.3522957971722	98.4632269759216	40341	0.110931178749439
129	chr1	99.8658826923757	99.9557389268824	37992	0.0898562345066836
130	chr1	101.891968619295	101.949528176371	41348	0.0575595570757343
131	chr1	105.084395902851	105.38543601247	196092	0.301040109618782
132	chr1	105.496566233864	105.49663180602	1	6.55721560463007e-05
133	chr1	108.930262455193	109.039540644854	1859	0.109278189661097
134	chr1	110.211684746197	110.296893234436	91744	0.085208488239445
135	chr1	110.628885271315	110.731712780128	101814	0.102827508813363
136	chr1	122.311590706445	122.376780194239	11955	0.0651894877934609
137	chr1	123.269585175453	123.293374650746	22736	0.0237894752933414
138	chr1	135.72136052795	135.766828440952	5079	0.0454679130018292
139	chr1	138.18656525677	138.349155445296	164372	0.162590188525883
140	chr1	139.504292352085	139.509968057539	154	0.00567570545379681
141	chr1	139.798523241632	139.824258461999	10866	0.0257352203671815
142	chr1	140.514532261398	140.523659942223	553	0.00912768082534399
143	chr1	144.672722913292	144.694138640224	1688	0.0214157269321049
144	chr1	2.69771356635892	2.77702067057865	24358	0.0793071042197306
145	chr1	3.65188319112161	3.8039274895421	21689	0.152044298420487
146	chr1	3.84845181546726	3.88766948986875	6075	0.0392176744014905
147	chr1	4.09975310391086	4.12294285022534	8693	0.0231897463144817
148	chr1	13.5127542117974	13.5725646442949	14506	0.0598104324974393
149	chr1	14.8134892188537	14.8144237683627	26	0.000934549508992077
150	chr1	16.9353343372157	16.9533041753002	24422	0.0179698380844968
151	chr1	21.1926676626912	21.2249235387626	22948	0.0322558760714209
152	chr1	27.2304839724205	27.2518395147385	5621	0.0213555423180019
153	chr1	27.9149271132919	27.9215552847518	1524	0.00662817145989081
154	chr1	28.5763311280898	28.7455564812078	45991	0.169225353118051
155	chr1	29.9064604410561	29.9486437894516	11841	0.0421833483954366
156	chr1	30.5755438096121	30.6032014203731	6777	0.0276576107610111
157	chr1	33.0884432443146	33.1412779730258	30328	0.0528347287111828
158	chr1	35.0520631581775	35.2243618789447	64033	0.172298720767195
159	chr1	35.4684131433711	35.6231230147276	291260	0.154709871356417
160	chr1	42.6145684145578	42.6649582672789	4789	0.0503898527211391
161	chr1	43.018169329954	43.1045894214026	5058	0.0864200914485664
162	chr1	43.7308936428371	43.7838484956234	2337	0.0529548527863284
163	chr1	44.0830009488927	44.2162773483859	90173	0.133276399493184
164	chr1	46.8398022962171	46.8409475257495	60	0.0011452295323906
165	chr1	47.7690078969739	47.8298350672816	67814	0.060827170307725
166	chr1	48.426265571983	48.4271529038894	18	0.000887331906376687
167	chr1	49.8520242578405	49.8816556661913	46339	0.0296314083507809
168	chr1	50.3389337585523	50.3528417105183	4578	0.0139079519660186
169	chr1	50.5322612542169	50.5600829857658	43474	0.0278217315488618
170	chr1	51.7298805576799	51.7401962139819	17025	0.0103156563019908
171	chr1	51.8623745791385	51.9585595372882	88796	0.096184958149685
172	chr1	53.5371855682169	53.5947361771689	2492	0.0575506089519635
173	chr1	53.6643887552684	53.7941470770549	93240	0.129758321786511
174	chr1	58.9729524432586	59.0712310245535	45085	0.0982785812948563
175	chr1	62.1191042114035	62.2053878095913	2725	0.0862835981877481
176	chr1	68.7196077464641	68.7992315276461	39823	0.0796237811819225
177	chr1	69.7234608457127	69.7729175534542	96549	0.04945670774147
178	chr1	70.4331438278956	70.4769335440994	3295	0.0437897162038325
179	chr1	70.5072532772187	70.5678850990587	56799	0.0606318218399764
180	chr1	74.7989734301312	74.8263350013291	517	0.0273615711979289
181	chr1	75.2861995272379	75.3773281842337	143587	0.0911286569957213
182	chr1	75.6789652596283	75.7867834743396	84232	0.107818214711273
183	chr1	86.0211072957301	86.1171225467786	70386	0.0960152510484704
184	chr1	87.1155899774054	87.1281902342207	17077	0.0126002568152472
185	chr1	90.7552975487881	90.8601398270897	204702	0.104842278301547
186	chr1	91.0722622290472	91.233428344418	28647	0.161166115370818
187	chr1	93.8256781897725	94.0059839250497	39865	0.180305735277187
188	chr1	98.4891807347035	98.6885788195602	447542	0.199398084856682
189	chr1	98.8866140480181	98.8939223712202	1553	0.00730832320202524
190	chr1	99.5884523439544	99.5941031133644	2884	0.00565076940992526
191	chr1	99.988319278561	100.131913564874	43250	0.143594286313075
192	chr1	110.8231251801	110.976167892107	29106	0.153042712007135
193	chr1	126.460507140842	126.488027200534	1558	0.0275200596918808
194	chr1	129.855971497868	129.883389961584	16493	0.0274184637163444
195	chr1	132.087290378699	132.425561573188	276472	0.338271194489096
196	chr1	136.943732553039	137.059820539628	337651	0.116087986588838
197	chr1	137.474452222846	137.490829028086	37300	0.0163768052400997
198	chr1	138.975566887106	139.38859456082	46174	0.413027673714595
199	chr1	139.441112559348	139.471933459908	1681	0.030820900560542
200	chr1	143.615352748627	143.690210034242	159035	0.0748572856148257
201	chr1	143.978394116489	144.070548203759	39899	0.0921540872698472
202	chr1	144.485833578051	144.539390552269	1512	0.0535569742180257
203	chr1	145.307447319668	145.313948675783	290	0.00650135611545011
204	chr1	2.4054467428623	2.47738265918571	3457	0.0719359163234086
205	chr1	3.06649376876183	3.10357503084375	28312	0.0370812620819159
206	chr1	3.71654065451527	3.82122906983659	16290	0.104688415321318
207	chr1	4.02647620785146	4.04262664563442	14364	0.0161504377829687
208	chr1	4.31820524335664	4.44127919401509	295333	0.123073950658451
209	chr1	5.65212391456116	5.69118567945226	27941	0.0390617648911009
210	chr1	5.8776073617031	5.8938662044657	11630	0.0162588427625998
211	chr1	6.63814730975495	6.65211460958775	1975	0.0139672998328013
212	chr1	8.37693788996765	8.5037659417578	62009	0.126828051790149
213	chr1	8.66668944859742	8.72717937709479	12655	0.0604899284973683
214	chr1	9.0937591491828	9.11244334990323	259	0.0186842007204291
215	chr1	10.6341179600364	10.6345972926284	224	0.000479332591964976
216	chr1	13.3186811878518	13.3622509785176	7596	0.043569790665801
217	chr1	13.510408138718	13.5920592969039	24404	0.0816511581859736
218	chr1	16.9931934449092	17.0321398470526	1599	0.0389464021434556
219	chr1	17.0677182221435	17.2084486743408	6735	0.140730452197232
220	chr1	17.3625214135315	17.3980455975561	13661	0.035524184024581
221	chr1	17.7010189823109	17.7049253284795	2276	0.0039063461685771
222	chr1	21.6684918390836	21.7198803220478	2018	0.0513884829642102
223	chr1	26.9785379040634	27.1647016273157	34079	0.186163723252335
224	chr1	27.1699867880654	27.2921889296718	46673	0.122202141606415
225	chr1	27.5080309624545	27.6579784575745	119113	0.149947495119971
226	chr1	28.3440225846358	28.4759518144777	47122	0.131929229841901
227	chr1	32.9619867249965	33.1264464171218	119671	0.164459692125355
228	chr1	34.57427683629	34.7529321002966	70337	0.178655264006629
229	chr1	34.7579283769744	34.7936310201047	27224	0.0357026431303069
230	chr1	43.1871738262924	43.2216151001375	25903	0.0344412738451041
231	chr1	43.2483220436377	43.4463342017229	230316	0.198012158085191
232	chr1	46.5156468237635	46.6816894919086	514825	0.16604266814511
233	chr1	46.8534687019703	46.9049658565395	2698	0.0514971545692404
234	chr1	48.1536329910286	48.1970310379577	16293	0.0433980469290418
235	chr1	49.2052604999189	49.2149653495278	15886	0.00970484960885898
236	chr1	50.5197646276746	50.5338091653689	22689	0.0140445376942537
237	chr1	52.9487768416631	52.982838830934	769	0.0340619892709171
238	chr1	53.6442817329335	53.6517613400602	324	0.00747960712670448
239	chr1	54.0956815262084	54.1033628368295	180	0.00768131062105226
240	chr1	56.9914122431569	57.057039021873	85864	0.0656267787160871
241	chr1	58.6494520137191	58.649825696554	121	0.000373682834904798
242	chr1	62.0535286767868	62.1077686047465	1713	0.0542399279597063
243	chr1	66.6979545152833	66.8762037079475	345169	0.178249192664211
244	chr1	69.5907131255803	69.6033621182598	336	0.0126489926794591
245	chr1	70.8577393981661	70.8652793639324	1310	0.00753996576627003
246	chr1	70.8654907398765	71.1665138782393	94765	0.301023138362865
247	chr1	71.8159266031797	71.8262887239463	16178	0.0103621207666293
248	chr1	71.8288424620408	71.9033047385299	244843	0.0744622764891147
249	chr1	73.8895875737945	73.952847323002	48736	0.0632597492074609
250	chr1	74.1549058497304	74.1781773809891	5278	0.0232715312587004
251	chr1	75.6491589477025	75.7529575749894	49054	0.103798627286878
252	chr1	76.0849363057983	76.0912102521946	897	0.00627394639634815
253	chr1	78.818180194925	78.8506030272408	102340	0.0324228323157314
254	chr1	82.2569756908044	82.2941250557897	430	0.0371493649852965
255	chr1	93.4272628082526	93.4301342754369	55	0.00287146718429199
256	chr1	98.7479509292452	98.8758932784593	61780	0.127942349214138
257	chr1	103.442203701033	103.541221850947	330786	0.0990181499136753
258	chr1	105.687234657642	105.794693944796	66219	0.107459287154285
259	chr1	135.583215690489	135.622311485428	13223	0.0390957949381061
260	chr1	137.440119603664	137.792642386329	263532	0.352522782665005
261	chr1	139.046289373119	139.237773555689	11372	0.191484182569269
262	chr1	139.429183713552	139.482547766239	7469	0.05336405268676
263	chr1	139.591923327263	139.641322883666	8613	0.049399556402733
264	chr1	146.568900134449	146.633168126922	4726	0.0642679924728782
265	chr1	2.97738873818918	3.085020239581	10623	0.107631501391817
266	chr1	3.10188311667154	3.18267456110895	83624	0.080791444437414
267	chr1	7.84529806748311	7.98768088086259	55669	0.142382813379476
268	chr1	8.45212087558252	8.58163417881429	62969	0.129513303231768
269	chr1	9.17775528313168	9.18597652140668	389	0.00822123827500043
270	chr1	10.5325569191879	10.580017561594	3265	0.047460642406131
271	chr1	10.8520723003196	10.8615877525965	1355	0.00951545227689721
272	chr1	11.0428126696344	11.1417370851559	2986	0.0989244155215712
273	chr1	14.0283886954224	14.0554658961774	586	0.0270772007549329
274	chr1	16.6549976104304	16.6727404493851	9869	0.0177428389547174
275	chr1	20.3796759093208	20.4128512564596	1174	0.0331753471388403
276	chr1	21.2427483808679	21.2839879805896	3485	0.0412395997216812
277	chr1	25.78984341055	25.793707588762	422	0.0038641782119555
278	chr1	27.622734643524	27.6814013818952	22331	0.0586667383711905
279	chr1	27.7400133190076	27.7667786973345	3520	0.0267653783269139
280	chr1	27.7985650407734	27.8135784134134	2881	0.0150133726400341
281	chr1	33.1892442954444	33.2451359976088	5610	0.0558917021643524
282	chr1	33.877482695296	34.1182128247026	98957	0.240730129406622
283	chr1	35.4397387472818	35.6052503635716	279046	0.165511616289827
284	chr1	42.4095919235203	42.4877577506887	4436	0.0781658271683625
285	chr1	42.7352979004052	42.7889792825739	2502	0.0536813821687758
286	chr1	42.9719593781978	43.1646958085128	46837	0.192736430314909
287	chr1	43.9002192937898	44.1679324144546	276788	0.267713120664745
288	chr1	45.0137206828965	45.2749094995387	60076	0.261188816642154
289	chr1	48.1852690305517	48.217758841857	19322	0.0324898113052754
290	chr1	49.9923921422375	50.0543334729618	30799	0.0619413307243093
291	chr1	50.288618446088	50.4153969402807	63168	0.126778494192671
292	chr1	52.0139286403592	52.0753563151729	283302	0.0614276748137357
293	chr1	58.8335177963403	58.8819225560467	2500	0.0484047597063793
294	chr1	71.9395320752831	71.9833548530927	1608	0.0438227778096092
295	chr1	72.2920415117243	72.4712955574481	96052	0.179254045723752
296	chr1	74.7947395313062	74.8711354765166	29849	0.0763959452103506
297	chr1	74.9769149381667	75.0027183428126	12709	0.0258034046459272
298	chr1	76.4433215288495	76.816226003318	325550	0.372904474468513
299	chr1	82.3025052613794	82.3170194318909	168	0.0145141705114469
300	chr1	85.3368817783073	85.3645396873373	828	0.027657909030026
301	chr1	90.9232303874725	90.9984869874691	4662	0.0752565999965356
302	chr1	91.3897181910125	91.4175220184892	32304	0.0278038274767596
303	chr1	93.4709613179316	93.4717966538377	16	0.000835335906145929
304	chr1	98.2481828095456	98.2777389444753	444	0.0295561349296776
305	chr1	98.362418601572	98.4775240323183	15069	0.115105430746226
306	chr1	99.8438707062074	99.8676873294201	5585	0.0238166232126957
307	chr1	100.332407656996	100.412826527537	237464	0.0804188705402993
308	chr1	104.773227224181	104.799679258077	72375	0.0264520338957936
309	chr1	105.259822961767	105.292033052878	69624	0.032210091110187
310	chr1	111.033633960529	111.1479919617	193157	0.114358001170743
311	chr1	122.266940243931	122.288964356848	603	0.0220241129169807
312	chr1	123.375833873328	123.399642044196	13481	0.0238081708688611
313	chr1	124.040207695104	124.103843116148	764	0.0636354210442391
314	chr1	137.489352630332	137.589105689221	25033	0.0997530588898883
315	chr1	146.932310656603	147.029219327556	110987	0.0969086709533258
316	chr1	2.6215872751593	2.62214890832193	60	0.000561633162635466
317	chr1	8.84795831733604	8.85487958729906	211	0.006921269963021
318	chr1	9.41696792409683	9.42084424968592	278	0.00387632558909345
319	chr1	11.0622223321394	11.0973023702461	795	0.0350800381067042
320	chr1	11.128896467454	11.1902730174029	3885	0.0613765499489105
321	chr1	11.2367015668194	11.306455113405	7934	0.0697535465856678
322	chr1	20.3558406663436	20.3613752680447	7747	0.00553460170104003
323	chr1	30.8731454987489	30.8960289773587	74762	0.0228834786098311
324	chr1	35.4177859709566	35.5187067991144	207047	0.100920828157754
325	chr1	35.600815852503	35.6143535454858	9084	0.01353769298278
326	chr1	36.5210580891062	36.5779493569758	1970	0.0568912678696094
327	chr1	42.5585107104812	42.6012919652773	59089	0.042781254796104
328	chr1	43.7854119893502	43.8351312533836	50904	0.049719264033449
329	chr1	43.9846723930999	43.9908969315501	28928	0.00622453845021198
330	chr1	46.0600131602781	46.1094212494395	11140	0.049408089161382
331	chr1	47.0217345273545	47.0425858860097	1562	0.0208513586551646
332	chr1	48.036336567558	48.0661352275199	17134	0.029798659961898
333	chr1	48.3678255653816	48.6177715671983	105498	0.249946001816674
334	chr1	49.7611137557588	49.8396485305335	199742	0.0785347747747167
335	chr1	50.2937769656246	50.3182693004324	8062	0.0244923348077819
336	chr1	50.3337144790683	50.5513142128627	234650	0.217599733794387
337	chr1	51.3588811555682	51.4989268063563	69711	0.140045650788025
338	chr1	53.4030616933333	53.4522106663093	9977	0.0491489729759778
339	chr1	53.571780597203	53.7574534634434	22478	0.185672866240395
340	chr1	55.2764068558121	55.3045225741889	212720	0.028115718376732
341	chr1	55.8049011961231	55.8641209154276	324428	0.0592197193045578
342	chr1	63.4931512479774	63.5058007972746	1394	0.0126495492971301
343	chr1	78.9064975247154	78.9182350750805	255	0.0117375503651402
344	chr1	85.2590642761032	85.5995670493361	302613	0.340502773232842
345	chr1	109.82700630524	109.949065651453	512762	0.12205934621268
346	chr1	116.088983478282	116.293063367702	14024	0.204079889420186
347	chr1	132.01951636853	132.15950960593	293243	0.139993237399466
348	chr1	135.65747806542	135.667602934412	1131	0.0101248689917952
349	chr1	138.307221369524	138.357148607623	20369	0.0499272380983484
350	chr1	139.359646323885	139.469980132711	40435	0.110333808825715
351	chr1	144.395481085685	144.808876002308	180488	0.413394916623844
352	chr1	4.65752742489178	4.70491782409051	35549	0.0473903991987301
353	chr1	10.9650105724773	10.9793818031334	1903	0.0143712306561294
354	chr1	11.218690735722	11.2671390880103	8992	0.0484483522882861
355	chr1	18.0036261127048	18.015116518451	320	0.0114904057461764
356	chr1	26.7818918704027	26.7862272711881	324	0.00433540078532602
357	chr1	28.0548957974779	28.1176172896946	1156	0.0627214922167134
358	chr1	28.4402865420355	28.4455787382178	236	0.00529219618228893
359	chr1	33.187092465626	33.2524254881618	21864	0.0653330225357536
360	chr1	43.2226075968625	43.2427628902567	23337	0.0201552933941898
361	chr1	48.2058025369535	48.2087725954802	751	0.00297005852666388
362	chr1	49.5566611793787	49.6309187446794	203933	0.0742575653007407
363	chr1	49.7282316991044	49.8602724468758	430496	0.132040747771356
364	chr1	49.9550120811172	50.0066144495766	1039	0.0516023684594273
365	chr1	54.4237800738357	54.4628246976703	700	0.0390446238346414
366	chr1	54.4800900888293	54.4890470150283	7316	0.00895692619896948
367	chr1	61.2616061461679	61.4386884874087	122402	0.177082341240798
368	chr1	67.7276598302873	67.7378771441738	1698	0.0102173138864572
369	chr1	69.1976540080297	69.2459723582779	24006	0.0483183502481808
370	chr1	69.8532731085205	69.9054612903764	88141	0.0521881818558398
371	chr1	72.2973573216769	72.4150831254611	68165	0.117725803784182
372	chr1	74.8867445832002	75.3115320046248	490714	0.42478742142454
373	chr1	76.4743929281167	76.5771559064805	92604	0.102762978363785
374	chr1	84.3217660640093	84.3983014880654	148396	0.0765354240561038
375	chr1	90.9178170607188	90.9527470208108	827	0.0349299600920432
376	chr1	98.7577421637548	98.8931952276748	58315	0.135453063920039
377	chr1	99.3775368032617	99.3989607056436	10423	0.0214239023818976
378	chr1	103.522865241881	103.666018090208	287137	0.143152848327162
379	chr1	109.073993281463	109.139396034212	23242	0.0654027527486676
380	chr1	120.944213706111	120.989672059839	19724	0.0454583537275823
381	chr1	124.35227254112	124.38286230436	88808	0.0305897632403571
382	chr1	126.413998593237	126.472447808591	3309	0.0584492153532921
383	chr1	130.558433622531	130.596628347918	3576	0.0381947253863473
384	chr1	132.009418132335	132.085501689925	33320	0.0760835575896976
385	chr1	135.715111935062	135.763695192369	5427	0.0485832573067171
386	chr1	138.927816133146	138.967175974125	1717	0.039359840979813
387	chr1	143.80877146476	143.93615960114	240386	0.127388136380063
388	chr1	145.83022229903	146.697187936722	340741	0.866965637692005
389	chr1	146.855357201409	146.966499559478	187938	0.111142358069145
390	chr1	2.40693781792027	2.49261757024224	4178	0.0856797523219615
391	chr1	3.05594671444272	3.08408367758924	5998	0.0281369631465243
392	chr1	16.7696569924176	16.8371655332684	1671	0.0675085408508131
393	chr1	27.2057955686611	27.4596856261594	146958	0.253890057498289
394	chr1	43.7116096563449	43.7187947252941	3549	0.0071850689491626
395	chr1	48.7292846574301	48.7590582119208	58602	0.0297735544906743
396	chr1	62.3397716177122	62.3592198210638	2564	0.0194482033515797
397	chr1	63.2931299613924	63.4796339908391	201991	0.186504029446681
398	chr1	68.6093753835693	68.7957930671427	94827	0.186417683573424
399	chr1	69.6043409093644	69.6512099449494	1245	0.0468690355850327
400	chr1	69.7399855762981	69.7933554820254	102109	0.0533699057273509
401	chr1	71.3960599878155	71.4095192281614	2337	0.0134592403459379
402	chr1	72.1023027540738	72.2203686661308	61395	0.118065912057006
403	chr1	73.4446937376179	73.4465794401305	220	0.00188570251258113
404	chr1	74.5885761334834	74.6426801046448	9235	0.0541039711613962
405	chr1	86.1145902016786	86.1569918998006	215668	0.0424016981219495
406	chr1	89.175848601596	89.2035227068005	16580	0.0276741052045253
407	chr1	98.8255958811464	98.8665764409497	829	0.0409805598032591
408	chr1	98.9342202608968	99.0336954849685	195425	0.0994752240717958
409	chr1	104.012335217001	104.058480124627	77208	0.0461449076253331
410	chr1	110.932649431673	111.159289633466	368435	0.226640201793444
411	chr1	112.801355720198	112.819072978101	10059	0.0177172579030156
412	chr1	116.410320725643	116.43120113221	17186	0.0208804065677839
413	chr1	122.698062521345	122.774785916954	4505	0.0767233956095481
414	chr1	127.76321406272	127.789526582322	33375	0.0263125196015324
415	chr1	128.045639280197	128.083662932968	24598	0.038023652770903
416	chr1	129.465024655238	129.573066483182	23162	0.10804182794368
417	chr1	144.685613156505	144.724912914779	11592	0.0392997582746659
418	chr1	146.185473980866	146.259423292894	933	0.0739493120277075
419	chr1	4.31793951853758	4.34332052464128	2961	0.0253810061036974
420	chr1	9.96813691673407	9.98655079433254	936	0.0184138775984728
421	chr1	17.1101086947108	17.2377146953636	6494	0.127606000652818
422	chr1	20.52986449816	20.5582798882204	3863	0.0284153900604522
423	chr1	27.2639994690728	27.4182983237688	113049	0.154298854695938
