Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr1	358188.0	0.06622371571262858	0.05316379896569856
chr1	361917.0	0.06888466028379141	0.05342066986389682
chr1	363917.0	0.07174688455080513	0.05356416363299843
chr1	367120.0	0.07408992553892636	0.05380147366449961
chr1	370094.0	0.0919940785463127	0.054075064054096345
chr1	372861.0	0.10167362678015666	0.05435639497939704
chr1	375100.0	0.09620799004089922	0.05457180466909861
chr1	375279.0	0.04078088993499569	0.054579104448396976
chr1	379209.0	0.10152940030486782	0.054978114991595106
chr1	386167.0	0.15990611450124984	0.0560907417362948
chr1	387347.0	0.1588781559346068	0.05627821796029764
chr1	388517.0	0.2901777270071266	0.05661772590089598
chr1	388521.0	51.30670115072178	0.056822952705498864
chr1	394999.0	1.097337489131891	0.06393150496009525
chr1	399737.0	11.057348408991496	0.11632122172189696
chr1	400340.0	3.7157364681630782	0.1185618108121993
chr1	403635.0	0.3202477263421912	0.11961702707049682
chr1	403876.0	0.06902579129022478	0.11963366228619776
chr1	404463.0	0.0708453413957272	0.11967524850159705
chr1	405432.0	0.07372653271329231	0.11974668951179623
chr1	406202.0	0.06324432480634831	0.11979538764189712
chr1	407762.0	0.10526968833273596	0.11995960835569619
chr1	408616.0	0.11308146217905085	0.1200561799243971
chr1	408736.0	0.022693406679744992	0.12005890313319867
chr1	410829.0	0.11126569101756556	0.12029178222449843
chr1	414557.0	0.18563076258016883	0.1209838137073973
chr1	415238.0	0.12559524390770824	0.12106934406849845
chr1	418031.0	0.12445357153602239	0.12141694289379856
chr1	422557.0	0.09602262149784178	0.1218515412786978
chr1	424000.0	0.10032574830158106	0.12199631133349698
chr1	425024.0	0.09555716953477122	0.12209416187510058
chr1	426910.0	0.12249862131285763	0.12232519427489663
chr1	430735.0	0.11635104551711188	0.12277023702399958
chr1	439444.0	0.20873608525651072	0.12458811959049854
chr1	439788.0	0.1957252799317115	0.12465544908679504
chr1	442782.0	0.12316434355407656	0.12502420313139595
chr1	444515.0	0.3545708343912956	0.12563867438739607
chr1	444754.0	0.01987316317645385	0.12564342407339524
chr1	445632.0	0.07327670228227535	0.12570776101799908
chr1	448302.0	0.07065563258363403	0.12589641155699738
chr1	454864.0	0.07411842732397418	0.1263827766770973
chr1	455154.0	0.04753400930492889	0.12639656153979573
chr1	459157.0	0.03921342962824953	0.1265535328985976
chr1	464701.0	0.03723134835864985	0.12675994349389796
chr1	464949.0	0.04510490564559089	0.12677112951049807
chr1	468039.0	0.06909960828482328	0.12698464730009817
chr1	468469.0	0.06912599767633236	0.127014371479099
chr1	470115.0	0.060343727580338125	0.12711369725469623
chr1	470578.0	0.07241084686983291	0.12714722347679697
chr1	471418.0	0.06610542321369837	0.12720275203229647
chr1	472572.0	0.09778375156074368	0.12731559448159757
chr1	476603.0	0.20186624180063492	0.12812931730229593
chr1	478930.0	0.914697079974748	0.13025781740739717
chr1	479038.0	0.04951703241678834	0.13026316524689818
chr1	481416.0	0.4807113435236814	0.1314062968217975
chr1	481469.0	0.04526049056715169	0.13140869562779756
chr1	481536.0	0.14371859255581865	0.1314183247734988
chr1	481593.0	0.21347950694524098	0.13143049310539467
chr1	482149.0	0.07748311565500086	0.13147357371769886
chr1	482443.0	0.08197612447663671	0.131497674698295
chr1	482529.0	0.013980234892221952	0.13149887699849572
chr1	482979.0	0.4245628028895807	0.13168993025979603
chr1	485251.0	0.41494189872355997	0.13263267825369596
chr1	487162.0	0.08706293134607687	0.1327990555154983
chr1	489188.0	0.056036042251014696	0.13291258453709887
chr1	489998.0	0.02727484135719205	0.1329346771585982
chr1	494112.0	0.027572988089587185	0.13304811243159875
chr1	496212.0	0.03356226652362877	0.13311859319129837
chr1	496835.0	0.02929374767227069	0.1331368431960982
chr1	496979.0	0.013447679167752667	0.13313877966189835
chr1	497368.0	0.027456379686813946	0.13314946019359652
chr1	497448.0	0.015457092539250537	0.13315069676099967
chr1	499993.0	0.03305983736669561	0.1332348340470979
chr1	500367.0	0.0487505200557557	0.13325306674159876
chr1	500636.0	0.03877544237616687	0.13326349733559795
chr1	500848.0	0.02404696368235488	0.1332685952918986
chr1	506425.0	0.05068839046087534	0.1335512844454989
chr1	508617.0	0.035287562453587176	0.13362863478239717
chr1	511662.0	0.04128125477811935	0.13375433620319654
chr1	511709.0	0.014803621288616883	0.1337550319733971
chr1	511851.0	0.038955328177611985	0.13376056362999833
chr1	512872.0	0.043643435747941266	0.13380512357789698
chr1	514884.0	0.04704089368796499	0.13389976985599716
chr1	519860.0	0.04590185777741808	0.1341281775002976
chr1	522317.0	0.04953496324866303	0.13424988490499956
chr1	522715.0	0.03665843843779597	0.1342644749634978
chr1	522772.0	0.0097185491155646	0.1342650289207974
chr1	523719.0	0.04313063907197508	0.13430587363599855
chr1	523917.0	0.0173386479764074	0.13430930668829788
chr1	524411.0	0.03957684919148165	0.13432885765179847
chr1	524781.0	0.04312486323838867	0.13434481385119668
chr1	524826.0	0.023573377758465436	0.1343458746531958
chr1	526001.0	0.03799827285162908	0.13439052262379647
chr1	526724.0	0.038464706500918856	0.13441833260659664
chr1	528488.0	0.03542912868397897	0.13448082958959517
chr1	528665.0	0.044247877397250356	0.1344886614638945
chr1	528881.0	0.017994095398895148	0.13449254818850065
chr1	528981.0	0.015624784985845963	0.13449411066699923
chr1	531805.0	0.08186446462364609	0.1347252959150964
chr1	531826.0	0.13856518100126214	0.13472820578389744
chr1	532355.0	0.16112691360773998	0.13481344192119593
chr1	533245.0	0.07358255404638518	0.13487893039429721
chr1	537695.0	0.09919184534839276	0.13532033410609756
chr1	538124.0	0.10110203380521415	0.1353637068786
chr1	545621.0	0.10180621880721374	0.13612694810099768
chr1	548566.0	0.10522890825069134	0.13643684723579597
chr1	548594.0	0.0791176000904313	0.1364390625285985
chr1	551780.0	0.14699032018150252	0.13690737368869677
chr1	553925.0	0.4660450175287126	0.13790704025129585
chr1	558114.0	1.392440600000792	0.14373997392469917
chr1	558518.0	3.0640610477640204	0.14497785458799584
chr1	559150.0	45.78753179841791	0.17391557468459595
chr1	564126.0	5.48214805789805	0.20119474342069665
chr1	564544.0	4.078190598806138	0.20289942709099762
chr1	565703.0	12.72769522657215	0.21765082585859474
chr1	565830.0	1.4537921945194234	0.2178354574672987
chr1	566781.0	22.548456510198633	0.2392790396084976
chr1	567926.0	18.026798048210583	0.25991972337369873
chr1	568949.0	0.7692204649059785	0.26070663590929755
chr1	571257.0	0.7558125062396255	0.2624510511736986
chr1	571645.0	0.7538150494740328	0.2627435314128945
chr1	571656.0	4.603249591122511	0.2627941671583969
chr1	571672.0	0.030179437393584863	0.26279465002939517
chr1	578199.0	0.15240386319932966	0.2637893900444972
chr1	578894.0	0.15661483597253917	0.2638982373554981
chr1	581838.0	0.17184202476201063	0.26440414027639747
chr1	588256.0	0.14834683398272266	0.2653562302568986
chr1	588415.0	0.06742263394967096	0.2653669504556966
chr1	588515.0	0.026169915017248968	0.2653695674471983
chr1	594164.0	0.7321537304830095	0.2695055038706968
chr1	599004.0	0.3758824830366254	0.2713247750885941
chr1	599419.0	0.49089148507061553	0.2715284950548984
chr1	606269.0	0.3156298983646865	0.2736905598586965
chr1	608615.0	0.34163667301708117	0.2744920394935946
chr1	609361.0	0.3995405985253319	0.2747900967800945
chr1	609446.0	0.20242322591457193	0.2748073027542972
chr1	612784.0	1.3229881071300296	0.27922343705589725
chr1	615769.0	1.3392499411393992	0.28322109813019836
chr1	618949.0	0.5921933193715101	0.28510427288579976
chr1	619391.0	0.5227270357380833	0.285335318235596
chr1	620009.0	0.3602151085777004	0.285557931172697
chr1	621201.0	1.8291836450504941	0.2877383180775972
chr1	623463.0	2.0004890099022123	0.292263424217996
chr1	625576.0	0.2444361912925127	0.2927799178901971
chr1	630232.0	0.40482867536491807	0.29466480020269614
chr1	634887.0	0.6371369884222787	0.29763067288380185
chr1	634966.0	0.5680985530887028	0.29767555266949586
chr1	642010.0	0.7412278460820372	0.3028967616172977
chr1	642341.0	0.7781056368546209	0.3031543145830966
chr1	642812.0	0.5548722583927648	0.3034156594167996
chr1	643094.0	0.4606291301360875	0.303545556831498
chr1	647699.0	1.339953832746936	0.3097160442312976
chr1	654576.0	1.9160222110803746	0.32289252897689735
chr1	655184.0	1.2449198004927415	0.32364944021559694
chr1	655947.0	0.9926731314576017	0.3244068498148991
chr1	658684.0	1.7885509993057662	0.32930211389999897
chr1	662583.0	1.1513391411126557	0.3337911852111972
chr1	665753.0	1.66894901337492	0.3390817535835957
chr1	672520.0	4.386117594414405	0.368762611344998
chr1	675831.0	3.3358689462395654	0.3798076734259972
chr1	677753.0	3.1064512663368515	0.3857782727598966
chr1	679136.0	11.633812825452972	0.4018678358974981
chr1	680704.0	9.649488491263776	0.4169982338517997
chr1	681787.0	2.2730554460720227	0.4194599528998957
chr1	682700.0	20.876990967255523	0.438520645653
chr1	683106.0	32.36538740048634	0.4516609929375974
chr1	683223.0	0.035416311099397794	0.45166513664599606
chr1	683323.0	0.04185843700099667	0.45166932248969616
chr1	686809.0	2.243426805164718	0.45948990833250036
chr1	688017.0	2.5322790625805247	0.46254890144009764
chr1	692581.0	1.7710996959026264	0.4706322004521972
chr1	696048.0	3.740437554629024	0.48360029745409605
chr1	701635.0	1.2240057846609944	0.490438817772997
chr1	703373.0	1.096138729459906	0.49234390688479834
chr1	705857.0	1.092676573469638	0.4950581154932969
chr1	706118.0	1.9131644578549996	0.4955574514167971
chr1	708732.0	2.5324280131994406	0.5021772182433004
chr1	712187.0	2.991314588305616	0.5125122101458963
chr1	716906.0	4.077781538314007	0.5317552612252001
chr1	717310.0	8.777787523259992	0.5353014873845972
chr1	722690.0	27.13651452853144	0.6812959355480963
chr1	728996.0	1.5564934033783921	0.6911111829498005
chr1	730259.0	18.659629447106738	0.7146782949414963
chr1	730742.0	12.013852263980276	0.7204809855849987
chr1	731023.0	208.50303318434797	0.7790703379098005
chr1	739095.0	3.370981616885625	0.8062809015213013
chr1	741007.0	9.118631571703313	0.823715725086398
chr1	741020.0	6.757976692302219	0.8238035787833979
chr1	742456.0	3.2755715280640105	0.8285072994976979
chr1	747643.0	3.6000877521686725	0.8471809546681968
chr1	748182.0	1.6560156089081604	0.8480735470813983
chr1	750212.0	1.1917803746296707	0.8504928612418965
chr1	756226.0	2.5063196153472527	0.8655658674085949
chr1	757342.0	1.4020442969571907	0.8671305488439991
chr1	759879.0	1.7013801595971534	0.8714469503088971
chr1	761142.0	1.3946583068088543	0.8732084037503967
chr1	762661.0	2.0583016435147656	0.8763349639468956
chr1	764966.0	2.604222152147751	0.8823376960075962
chr1	766119.0	1.4005737516046821	0.8839525575431963
chr1	774067.0	2.2742006173380203	0.9020279040497989
chr1	783142.0	4.3324766135537525	0.9413451293177992
chr1	784373.0	1.7121388611666748	0.9434527722558954
chr1	786661.0	2.2211746415665514	0.9485348198357997
chr1	789843.0	9.186378591357109	0.977765876513498
chr1	791921.0	12.78451627353183	1.0043321013298971
chr1	795046.0	3.6141911475522193	1.0156264486659978
chr1	798921.0	3.9588158446195525	1.0309668600638986
chr1	804112.0	10.10881770130948	1.083441732751396
chr1	805347.0	1.2351610660761463	1.0849671566680001
chr1	806092.0	2.369023804824383	1.0867320794025943
chr1	806660.0	1.6308167538833442	1.0876583833188
chr1	806821.0	0.38849023911144503	1.087720930247297
chr1	807098.0	0.7654687090299156	1.0879329650796983
chr1	808254.0	0.7444834709313445	1.088793587972095
chr1	810045.0	0.6197294514825133	1.0899035234197
chr1	817315.0	0.9451512675232998	1.0967747731345945
chr1	817994.0	0.451401101478315	1.0970812744824983
chr1	820686.0	0.2811227994800392	1.0978380570586985
chr1	821955.0	0.4484438364052161	1.0984071322870967
chr1	823733.0	0.45336804685039817	1.0992132206743968
chr1	824914.0	2.360884217697847	1.102001424935498
chr1	827945.0	3.097573315242398	1.1113901696539976
chr1	830828.0	3.2860115775575633	1.120863741032096
chr1	834415.0	1.1051266630619951	1.1248278303724994
chr1	835997.0	4.93164428919004	1.132629691637998
chr1	836549.0	5.3531501496296565	1.1355846305205937
chr1	837224.0	3.2238676367478964	1.1377607411753985
chr1	837611.0	7.017813559939404	1.140476635023095
chr1	837788.0	0.05819695877498251	1.1404869358847982
chr1	839594.0	12.885369227407363	1.163757912709496
chr1	840031.0	23.713635914877035	1.1741207716042972
chr1	844619.0	7.484805021839911	1.2084610570444987
chr1	845249.0	9.182442747620218	1.2142459959754994
chr1	849620.0	3.901375636467083	1.231298908882497
chr1	850195.0	4.39398849199852	1.2338254522653962
chr1	850216.0	0.23137399061229624	1.233830311119199
chr1	850553.0	166.88367263382298	1.2900701087967974
chr1	850744.0	0.062389431952280326	1.2900820251783003
chr1	850758.0	0.28934352843837785	1.2900860759876984
chr1	854218.0	7.010277529681418	1.3143416362403961
chr1	856216.0	1.819426247149078	1.3179768498822
chr1	862874.0	0.32071500693839056	1.3201121703983958
chr1	862901.0	1.7031804148096534	1.3201581562695957
chr1	866496.0	1.0404722287895407	1.323898653932094
chr1	867708.0	1.1138143340795974	1.3252485969049985
chr1	873305.0	2.1795804297303003	1.337447708570199
chr1	874256.0	8.0727319962101	1.3451248766985948
chr1	884051.0	4.766600011771513	1.3918137238138968
chr1	889650.0	1.4858720219511299	1.4001331212648012
chr1	892016.0	0.9549749911224861	1.402392592093797
chr1	893383.0	0.5087688374549448	1.4030880790945979
chr1	894131.0	0.3123226937157127	1.4033216964694972
chr1	895865.0	10.684880861994527	1.4218492798841957
chr1	896319.0	0.7006112237948552	1.4221673573797986
chr1	899272.0	0.8056045033862661	1.4245463074782982
chr1	899883.0	1.5924271999975774	1.4255192804974968
chr1	901629.0	2.2285616927263847	1.429410349212997
chr1	907425.0	4.7965975604038835	1.457211428673098
chr1	909048.0	80.47086917313469	1.5878156493410955
chr1	910800.0	5.849415676200394	1.5980638256057986
chr1	913830.0	5.636993475907469	1.6151439158377983
chr1	914921.0	5.127105881116354	1.6207375883540962
chr1	915597.0	4.602369838755447	1.6238487903650949
chr1	917809.0	13.665126909267961	1.6540760510883956
chr1	917900.0	0.8817397483506828	1.6541562894054955
chr1	919566.0	2.1073780818149137	1.6576671812897992
chr1	922393.0	2.9142615493091446	1.6659057986896961
chr1	922480.0	2.663185894301679	1.6661374958625004
chr1	923423.0	0.8318151953288853	1.6669218975916955
chr1	923662.0	0.3578639125694385	1.6670074270667996
chr1	924016.0	1.1009986279611959	1.6673971805810979
chr1	925000.0	0.9053935734759835	1.6682880878573982
chr1	926323.0	0.9457876442950365	1.6695393649108006
chr1	928607.0	8.351997791373694	1.688615327866298
chr1	931699.0	0.4792425798186467	1.6900971459230973
chr1	932347.0	0.9904019746871713	1.6907389264026946
chr1	932872.0	0.9480141083816394	1.691236633809595
chr1	933386.0	1.8341240254923794	1.692179373558698
chr1	934086.0	1.8824321459983855	1.693497076060897
chr1	937341.0	20.29346713914055	1.7595523115987994
chr1	939017.0	1.5748584139007644	1.7621917743004971
chr1	939674.0	2.184760255856106	1.7636271617885946
chr1	939702.0	0.11486343228942328	1.7636303779646987
chr1	939716.0	0.13473117123550896	1.763632264201096
chr1	939958.0	0.4693671595008773	1.7637458510536952
chr1	944799.0	20.08981215755036	1.8610006317083965
chr1	948148.0	14.713202005703591	1.9102751452254978
chr1	948403.0	1.152891960004456	1.910569132675299
chr1	950138.0	1.6222862636297424	1.9133837993426965
chr1	953057.0	1.107155702980638	1.916615586839697
chr1	953797.0	1.4114179547294956	1.9176600361261968
chr1	953925.0	0.5688607695453207	1.9177328503046986
chr1	958806.0	1.5233137074575807	1.925168144510799
chr1	962176.0	3.4010765853109	1.9366297726032968
chr1	968422.0	1.9569104588215889	1.9488526353290965
chr1	975396.0	14.301525843633378	2.0485914765625957
chr1	978364.0	0.36091099639505986	2.049662660399896
chr1	985973.0	1.2274011163098228	2.0590019554938976
chr1	987438.0	0.7890588860080688	2.0601579267618995
chr1	989571.0	0.40997354669420216	2.061032400336998
chr1	989741.0	0.1259128170511972	2.061053805515897
chr1	989903.0	0.07728193828092521	2.0610663251898984
chr1	994046.0	0.2900955912860692	2.0622681912245966
chr1	994398.0	0.20613843323211903	2.0623407519530943
chr1	1001653.0	0.04873141913178506	2.0626942983988954
chr1	1002845.0	0.04618640612692877	2.0627493525949987
chr1	1003008.0	0.02905764047101878	2.0627540889903955
chr1	1006218.0	0.057360728099521203	2.062938216927595
chr1	1006237.0	0.032898458133140115	2.0629388419982995
chr1	1009062.0	0.0846727193267717	2.0631780424303976
chr1	1009683.0	0.09153994348504392	2.063234888735302
chr1	1018729.0	0.10940624767828379	2.0642245776517996
chr1	1019997.0	0.1245050581217324	2.064382450065498
chr1	1020443.0	0.10630194215659512	2.0644298607316998
chr1	1022760.0	0.12782527794463378	2.0647260319006975
chr1	1026950.0	0.24865194890201175	2.065767883566597
chr1	1028552.0	0.1408871828955134	2.0659935848335955
chr1	1032972.0	0.15686586307713965	2.0666869319483965
chr1	1034456.0	0.17892589285726718	2.0669524579733967
chr1	1034498.0	0.04512826903703085	2.066954353360696
chr1	1035841.0	0.07411834244160703	2.0670538942945953
chr1	1040371.0	0.0735390886540627	2.067387026366198
chr1	1041187.0	0.05869147450831895	2.067434918609397
chr1	1043085.0	0.059985586564217076	2.067548771252696
chr1	1043975.0	0.06046990629575126	2.067602589469299
chr1	1044580.0	0.03561068082323936	2.067624133931197
chr1	1045169.0	0.030283882002366192	2.0676419711376965
chr1	1045964.0	0.029361109057114428	2.067665313219397
chr1	1047538.0	0.0334452879927163	2.0677179561026975
chr1	1052159.0	0.024498264661351535	2.0678311625836976
chr1	1053099.0	0.023355888404384656	2.0678531171187977
chr1	1055764.0	0.03677929692301705	2.0679511339450976
chr1	1055984.0	0.011914745004756613	2.0679537551889986
chr1	1056423.0	0.04016175330544696	2.0679713861986997
chr1	1062562.0	0.04230625707721931	2.0682311043108967
chr1	1066635.0	0.03565137419621018	2.068376312357998
chr1	1066801.0	0.014327691568647117	2.0683786907547983
chr1	1075144.0	0.03462283635377138	2.068667549078498
chr1	1082034.0	0.0636680615962151	2.0691062220228957
chr1	1083150.0	0.03868914032474819	2.069149399103498
chr1	1084997.0	0.03450597244163659	2.069213131634598
chr1	1085452.0	0.033319844836834096	2.0692282921639986
chr1	1086547.0	0.02101126200677422	2.069251299495896
chr1	1088318.0	0.02255597639728665	2.0692912461300956
chr1	1096648.0	0.022434114250111853	2.069478122301799
chr1	1097168.0	0.01984473230529296	2.069488441562598
chr1	1099810.0	0.019190414156412792	2.069539142636799
chr1	1102218.0	0.01950275876121421	2.069586105279896
chr1	1104177.0	0.018878420470349603	2.0696230881055975
chr1	1104398.0	0.007908142516900906	2.0696248358050937
chr1	1105967.0	0.01896988336600039	2.069654599552095
chr1	1106553.0	0.0204734389168977	2.0696665969873003
chr1	1107243.0	0.020008309274134186	2.0696804027206994
chr1	1109912.0	0.020580890333125976	2.0697353331169985
chr1	1110435.0	0.02002707093512797	2.0697458072750976
chr1	1113823.0	0.01902300873717622	2.069810257228699
chr1	1114470.0	0.019603334149507837	2.069822940585894
chr1	1120379.0	0.019287224572983253	2.0699369087958956
chr1	1121944.0	0.024714963132781778	2.0699755877131985
chr1	1125425.0	0.02517550025782483	2.070063223629596
chr1	1129901.0	0.023677945777833147	2.0701692061148975
chr1	1131986.0	0.022290546331732934	2.070215681903999
chr1	1136130.0	0.02257704565642569	2.0703092411811994
chr1	1137714.0	0.022054045012207514	2.0703441747884987
chr1	1144836.0	0.02229765512508145	2.0705029786882996
chr1	1151731.0	0.02975395444470313	2.070708132204196
chr1	1153061.0	0.028534091126667056	2.0707460825453943
chr1	1153384.0	0.040119843040460935	2.0707590412546963
chr1	1153737.0	0.045662311325845785	2.0707751600505944
chr1	1157264.0	0.04297631412044127	2.070926737510497
chr1	1159154.0	0.042801258412392025	2.0710076318888966
chr1	1159810.0	0.04256370549240927	2.0710355536796996
chr1	1163341.0	0.04286119453289262	2.0711868965575952
chr1	1163537.0	0.035925218373840696	2.0711939379003965
chr1	1163558.0	0.023430152463701927	2.0711944299335983
chr1	1167690.0	0.029091493029966716	2.071314635982798
chr1	1169005.0	0.029282785094407456	2.0713531428451972
chr1	1170329.0	0.028869709971398903	2.0713913663411994
chr1	1170494.0	0.014438768489250806	2.071393748738
chr1	1170559.0	0.014539979968748623	2.071394693836698
chr1	1170752.0	0.013461599475887917	2.071397291925397
chr1	1170830.0	0.01135011792814275	2.0713981772345953
